rune,latin
ᚠ,f
ᚠ,v
ᚢ,u
ᚦ,þ
ᚦ,ð
ᚬ,ą
ᚬ,o
ᚬ,æ
ᚱ,r
ᚴ,k
ᚴ,g
ᚴ,ŋ
ᚼ,h
ᚽ,h
ᚾ,n
ᚿ,n
ᛁ,i
ᛁ,e
ᛅ,a
ᛅ,æ
ᛅ,e
ᛆ,a
ᛆ,æ
ᛆ,e
ᛦ,R
ᛋ,s
ᛌ,s
ᛏ,t
ᛏ,d
ᛐ,t
ᛐ,d
ᛒ,p
ᛒ,b
ᛘ,m
ᛚ,l
